L,T
0.03826087,12.84347826
0.063768116,13.55652174
0.089275362,14.19130435
0.114782609,14.67826087
0.139710145,15.15652174
0.164637681,15.50434783
0.190144928,15.79130435
0.215652174,16.07826087
0.24,16.26086957
0.266666667,16.45217391
0.291014493,16.60869565
0.315942029,16.73043478
0.342028986,16.86086957
0.367536232,16.94782609
0.392463768,17.02608696
0.417971014,17.09565217
0.442898551,17.13043478
0.467826087,17.1826087
0.493913043,17.2173913
0.51884058,17.24347826
0.543768116,17.27826087
0.569275362,17.28695652
0.594782609,17.29565217
0.620289855,17.30434783
0.645217391,17.31304348
0.670144928,17.32173913
